11	8	0
18	18	0
7	14	00:00
13	19	0
14	12	0
1	6	00:01
14	11	0
9	1	0
11	11	0
0	3	00:02
5	6	00:03
0	14	00:04
15	19	0
9	6	0
5	8	00:05
10	2	0
3	4	00:06
9	5	0
0	2	00:07
7	1	0
8	0	0
3	0	0
0	4	00:08
11	6	0
3	11	00:09
6	7	00:10
7	5	0
10	16	00:11
6	11	00:12
12	3	0
1	6	00:13
17	15	0
2	6	00:14
10	15	00:15
3	6	00:16
19	17	0
3	5	00:17
18	13	0
15	15	0
2	12	00:18
14	17	0
17	16	0
5	0	0
17	14	0
12	12	0
4	13	00:19
8	1	0
9	14	00:20
14	6	0
15	6	0
2	0	0
1	5	00:21
0	5	00:22
9	7	0
13	15	0
13	18	0
14	9	0
12	13	0
6	9	00:23
18	2	0
18	5	0
0	5	00:24
9	8	0
6	10	00:25
7	0	0
4	5	00:26
10	8	0
11	19	0
4	4	00:27
9	16	00:28
6	2	0
0	6	00:29
6	8	00:30
8	6	0
12	5	0
13	9	0
15	8	0
9	0	0
19	16	0
3	7	00:31
0	7	00:32
13	6	0
2	1	0
10	10	0
15	7	0
9	18	00:33
4	9	00:34
19	18	0
8	3	0
13	11	0
10	3	0
15	5	0
7	12	00:35
5	15	00:36
10	7	0
14	8	0
15	3	0
6	3	0
0	8	00:37
7	2	0
7	17	00:38
8	7	0
10	1	0
11	5	0
0	0	0
12	7	0
12	0	0
1	0	0
19	13	0
9	13	00:39
17	5	0
10	17	00:40
3	1	0
4	6	00:41
2	10	00:42
1	14	00:43
5	5	00:44
10	0	0
11	0	0
1	5	00:45
19	12	0
13	10	0
13	14	0
1	9	00:46
10	9	0
3	19	00:47
1	7	00:48
19	2	0
9	10	0
2	6	00:49
6	0	0
13	16	0
4	0	0
